Name	Set	ImageFile	Type	traits	victorypoints	cost	expense	text	flavor	illustrator
Reliance on Professionals	empress	03040.png	Heroic Action	"Formidable, Professional"	NULL	0	1	"<strong>Action Phase</strong> \n Trained Skill [Action] - [Exert]: Attach this card to target [Contract] as a <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> [Complication] with a requirement of any Trained skill. \n Expert Skill [Action] - [Exert]: Attach this card to target [Contract] as a <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></U></strong> [Complication] with a requirement of any Expert Skill."	NULL	Chong Chee Kong
Triage	empress	03041.png	Heroic Action	"Chemical, Treatment"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Medical] [Action] - [Exert]: jettison target <strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> attached to a [Crew]. \n [Expert:Medical] [Action] - [Exert]: As above, then <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish</a></u></strong> this card."	Good as new.	Tan Ho Sim
Low Berth Module	empress	03042.png	Ship Upgrade	"Transport, Treatment"	NULL	1	1	"<strong>Resolution Phase</strong> \n [Exert]: Add a [Passenger] token to your Resource Pool. Then, lose 1 [VictoryPoint]."	Recent upgrades significantly reduce fatalities associated with the Slumber VII.	Nicholas Lim
Sensor Drone Controller	empress	03043.png	Ship Upgrade	"Mil-Grade, Sensors"	NULL	4	1	"<strong>Adventure Phase</strong> \n [Limited] You may look at an unrevealed [Complication] attached to a [Contract] with a [Military] or [Survey] requirement that you are pursuing. \n <strong>Resource Phase</strong> \n [Exert], [2]: Add a [Military/Survey] token to your Resource Pool."	NULL	Michael Rookard
Smuggling Hold	empress	03044.png	Ship Upgrade	"Resourceful, Unsavory"	NULL	1	2	"Whenever you add a [Cargo] token to your Resource Pool, add a Contraband counter to this card. \n Contraband counter, Add a [Trained:Underworld] token to your Resource Pool. \n 3 Contraband counters: Add a [Expert:Underworld] token to your Resource Pool."	NULL	Nicholas Lim
Tactical Display	empress	03045.png	Ship Upgrade	"Sensors, Warfare"	NULL	2	1	<strong>Resource Phase</strong> \n [Trained:StarshipOperation] token: [Attack] +1 or [Defense] +1 until end of round. \n [Expert:StarshipOperation] token: [Attack] +1 and [Defense] +1 until end of round.	The LSP Mk-5 Combat Suite doesn't just track problems. It solves them.	Ian Stead
Type HT Bounty Hunter	expbountyhunter	08001.png	Ship Type	"Imperial, Mercenary"	NULL	NULL	NULL	Gain 1 [VictoryPoint] at the end of any round in which any opponent has jettisoned a [Crew].	NULL	Ian Stead
Relief Op	expbountyhunter	08002.png	Adventure Card	"Altruistic, Professional"	3	NULL	NULL	NULL	"""You do the doctoring, we'll handle the borders."""	Leonardo Calamati
Troublesome Bounty	expbountyhunter	08003.png	Adventure Card	Mercenary	3	NULL	NULL	NULL	"""Little man loved fire."""	Leonardo Calamati
Combat Knife	expbountyhunter	08004.png	Gear	"Melee, Primitive, Veteran"	NULL	1	2	"When a [Crew] with [Combat] or <strong><em>Veteran</em></strong> is put into play under your control, if this card is in your discard pile, you may attach it to that [Crew] without paying this card's cost. \n <strong>Action Phase</strong> \n [Use]: Inflict 1 [Wound] on target [Crew]."	NULL	Paulo Puggioni
Hobble	expbountyhunter	08005.png	Heroic Action	"Veteran, Unsavory"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Combat] [Action] - [Exert]: Target a [Crew] without [Combat]. Suppress target's skills until end of round. \n [Expert:Combat] [Action] - [Exert]: Attach this card as a <strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> to target crew without [Combat]. Attached [Crew] controller must pay [2][Expense] during the <strong>Ready Phase</strong> or the target's Skills are suppressed until the end of round."	NULL	Burak Haliloglu
TL-10 Combat Armor	expcsc	11005.png	Gear	"Mil-Grade, Warfare"	NULL	3	1	"Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a></u></strong>. \n [Reaction] - [Exert]: Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Armor"">Armor 2</a></u></strong> until the end of the phase."	"""No frills, but it'll take a lickin."""	Nemanja Stankovic
Phantom Shroud	expcsc	11006.png	Gear	"Exotic, Mil-Grade, Unsavory"	NULL	1	1	"Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Concealed"">Concealed 2</a></u></strong> and [Trained:Underworld]."	"""Losing track of your shadow can be a serious cause for concern."""	Laura Weiner
Psi-Kick	expcsc	11007.png	Gear	"Exotic, Chemical, Unsavory"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> \n [Reaction] - Jettison: Attached [Crew] gains one level of [Psionic] until the end of the round."	"""Don't use all your brain at once."""	Marcus Reyno
Automation Unit	expcsc	11008.png	Gear	Gearhead	NULL	2	1	Attached [Crew] gains [Trained:StarshipOperation]. \n Jettison: [Ready] your [Ship].	"""Why is it asking if I'm the chimpanzee or the trainees?"""	Evgeny Kashin
Warrant	expcsc	11009.png	Gear	"Imperial, Government, Noble"	NULL	1	1	"Attached [Crew] gains [Trained:Admin]. \n <strong>Action Phase</strong> \n [Use], Jettison: Return target [Connection] to its owner's hand."	"""All the authority, none of the accountability."""	Aleksandra Mestak
Omag Corp Insurgent SMG	expcsc	11010.png	Gear	Ballistic	NULL	2	1	"<strong>Action Phase</strong> \n [Use], [1]: Inflict 2 [Wound] on target [Crew]. \n [Use], [1]: Target two [Crew] and inflict 1 [Wound] on each."	NULL	Ole Magnus Schei Sunnevag
Synaptic Accelerator	expcsc	11011.png	Gear	"Cybernetic, Gearhead, Professional"	NULL	1	1	"<strong><u><a href="""">Integral</a></u></strong> \n Attached [Crew] gains [Trained:Science]. \n <strong>Action Phase</strong> \n [Use], [1]: Search your deck for a [LinkOpen] [Heroic] [Trained:Science] [LinkClosed] and add it to your hand."	NULL	Ilya Palkhouski
Fulgora-20 AFV	expcsc	11012.png	Gear	Warfare	NULL	2	1	"[Use], [1]: Add a [Military] to your Resource Pool."	The Fulgora-20 is prized by mercenary companies for its firepower and reliability.	Juan Novelletto
Death Mark	expcsc	11013.png	Gear	Unsavory	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Cash"">Cash</a></u></strong>, <strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> \n This card enters play with 3 Mark counters. If the attached [Crew] is jettisoned, this card's controller gains 1 [VictoryPoint]. \n <strong>Ready Phase</strong> \n Remove one Mark counter. If none remain, jettison this card."	NULL	Burak Haliloglu
Field Testing	expcsc	11001.png	Adventure Card	"Corporate, Gearhead"	2	NULL	NULL	NULL	Prototype products put through their paces.	Leonardo Calamati
Mobile Mart	expcsc	11002.png	Connection	"Rhal'Kais, Salvage, Unsavory"	NULL	3	1	"When you expend a [Gear], increase that card's [Expense] by 1. \n <strong>Resource Phase</strong> \n [Reaction] - [Exert]: Reduce the cost of a [Gear] by [2]."	"When you know the right people, what you're looking for finds you."	Marcus Reyno
Been Looking for This	expcsc	11003.png	Event	"Resourceful, Salvage"	NULL	0	1	"<strong>Action Phase</strong> \n Attached target [Gear] from your discard pile to a [Crew] you control. Do not pay its cost. This [Gear] has <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong>. \n If the [Gear] is in play at the end of the round, disperse it."	NULL	Bo Myles
Search and Seizure	expcsc	11004.png	Event	Government	NULL	1	1	"Suppress the text box of all <strong><em>Mil-Grade</em></strong> cards until end of round. \n When playing this card, you may increase its cost by [3], if you do, you may jettison target <strong><em>Mil-Grade</em></strong> card."	Travellers are advised to always check the law level before leaving the starport.	Dimi Derzhavin
Universal Solvent	expcsc	11014.png	Heroic Action	"Exotic, Professional"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Science] [Action] - [Exert]: Procure a [Gear] or [Upgrade] from your hand, discard pile or dispersed region, paying cost as normal. \n [Expert:Science] [Action] - [Exert]: Jettison target attachment."	NULL	Burak Haliloglu
Jury Rig	expcsc	11015.png	Heroic Action	"Resourceful, Salvage"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Tech] [Action] - [Exert]: Replenish up to two [Gear]. \n [Expert:Tech] [Action] - [Exert]: As above, but you may move one of those cards to your hand."	"""It ain't broke till it's broke-broke"""	Laura Weiner
Karella Jump Drive Mk.2	expcsc	11016.png	Ship Upgrade	"Extravagant, Space"	NULL	0	1	"<span class=""jump""></span> +1 \n Jettison, [2]: Only usable if you are not the first captain. You are now the first captain."	"""Karella takes you where you want to go."""	Ian Stead
Expand Data Core	expcsc	11017.png	Ship Upgrade	Gearhead	NULL	2	1	"[Computer] slot +1 \n <strong>Resource Phase</strong> \n [Exert], [1], [Trained:Tech] token: Add an [Expert:Tech] token to your Resource Pool."	Secondary processing centers allow ships to run more demanding program suites.	Marcus Reyno
Passive Sensor Masking	expcsc	11018.png	Ship Upgrade	"Gearhead, Unsavory"	NULL	1	1	"After you gain an [Infamy] token, all other captains with fewer [Infamy] tokens must pay [2]. \n Jettison: <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish 1</a></u></strong> for each [Infamy] token you possess."	NULL	Ian Stead
GSbAG Meson Turret	expcsc	11019.png	Ship Upgrade	"Meson, Mil-Grade, Warfare"	NULL	2	0	"<strong><u><a href=""../rulesreference#KW_Critical"">Critical 2</a></u></strong> \n [Attack] +2."	Mesons make mockeries of defenses.	Ian Stead
Missile Magazine	expcsc	11020.png	Ship Upgrade	"Missile, Resourceful"	NULL	0	1	[Reaction] - [Exert]: Only usable when generating an ability of a <strong><em>Missile</em></strong> [Upgrade]. Reduce the cost to generate that effect by [1]. \n Jettison: [Ready] a <strong><em>Missile</em></strong> [Upgrade] you control.	NULL	Evgeny Kashin
Gazelle Close Escort	expgazelle	07001.png	Ship Type	"Imperial, Warfare"	NULL	NULL	NULL	"Your <strong><em>Warfare</em></strong> cards are worth +1[Expense].<br><strong>Ready Phase</strong> \n [Exert]:  Only usable at the start of the phase, [Initiative] -2, <span class=""jump""></span> +2 until end of round."	NULL	Michael Rookard
Red Team	expgazelle	07002.png	Adventure Card	"Professional, Warfare"	3	NULL	NULL	NULL	Hired to represent the Opposition force for wargames.	Leonardo Calamati
Weapons Testing	expgazelle	07003.png	Adventure Card	"Corporate, Professional, Unsavory"	2	NULL	NULL	NULL	Strange new weaponry tested on a distant world.	Leonardo Calamati
Drop Capsules	expgazelle	07004.png	Ship Upgrade	"Mercenary, Space, Veteran"	NULL	3	1	"<strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> \n <strong>Resource Phase</strong> \n Jettison: Add a [Military] to your Resource Pool. \n  \n [Exert], <strong><u><a href=""../rulesreference#Disperse"">Disperse</a></u></strong>: Gain 1 [VictoryPoint] after resolving a [LinkOpen][Contract][Military][LinkClosed]."	NULL	Nicholas Lim
RVD Superdense Armor	expgazelle	07005.png	Ship Upgrade	"Mil-Grade, Warfare"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Hardened"">Hardened 2</a></u></strong> \n [Defense] +2. \n Other [Upgrade] attached to your [Ship] gain <strong><u><a href=""../rulesreference#KW_Hardened"">Hardened 1</a></u></strong>."	Superdense harnesses the power of gravity to achieve incredible density and strength.	Ian Stead
Skeletal Replacement	exprogue	10001.png	Gear	Cybernetic	NULL	2	1	"<strong><u><a href="""">Integral</a></u></strong> \n  Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Mechanical"">Mechanical</a></u></strong>, <strong><u><a href=""../rulesreference#KW_Resilient"">Resilient</a></u></strong>, <strong><em>Unsavory</em></strong>. The Attached [Crew] increases their [Wound] capacity by 1."	NULL	Nicholas Lim
Zappy Gun	exprogue	10002.png	Gear	"Energy, Exotic"	NULL	2	1	"<strong>ACTION PHASE</strong> \n [Use], [1]: Inflict 1 [Structure] on target [Upgrade]. \n [Use]: [Exert] target <strong><u><a href=""../rulesreference#KW_Mechanical"">Mechanical</a></u></strong> [Crew]. \n [Use], [1]: Suppress the textbox of target non-<strong><em>Primitive</em></strong> [Gear]."	"""Cause it goes ""zzz-zap"", dummy."""	Atilgan Akiman
Argus Associates	exprogue	10003.png	Connection	"Extravagant, Mercenary"	NULL	4	1	"[Crew] you control without any other <strong><u><a href=""../rulesreference#KW_Armor"">Armor</a></u></strong> source gain <strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a></u></strong>. \n [Reaction] - [Exert], Jettison: If target [Crew] would suffer 1 or more [Wound], reduce the [Wound] inflicted to 0."	"""Argus keeps a close watch."""	Ylva Ljungqvist
Baron Antold Lexand	exprogue	10004.png	Crew	"Imperial, Mercantile, Noble"	NULL	3	1	"[Exert], Jettison a [Connection], [1]: Remove from play target [Complication]. When generating this ability, you may increase its cost by [2]. If you do resolve the target [Complication] instead."	"Antold Lexand, First Baron of Ashasham"	Kamyu
Ace Turner	exprogue	10005.png	Crew	"Imperial, Unsavory"	NULL	2	0	"<strong><u><a href=""../rulesreference#KW_Infamous"">Infamous</a></u></strong>, <strong><u><a href=""../rulesreference#KW_Concealed"">Concealed 2</a></u></strong> \n When you put Ace Turner into play from your hand, target an <strong><em>Imperial</em></strong> card. Target's controller pays its cost or the target is returned to its owner's hand."	NULL	Burak Haliloglu
Captain Joseph L. Brown V	exprogue	10006.png	Crew	"Celebrity, Extravagant, Mercantile"	NULL	4	0	"<strong><u><a href=""../rulesreference#KW_Equity"">Equity</a></u></strong> \n All cards with native [Expense] 0 gain [Expense] +1 when expended."	"""Ah, yes, well, that reminds me of the time my noble ancestor Joseph the Second..."""	Tan Ho Sim
Deadeye	exprogue	10007.png	Crew	"Imperial, Mercenary, Veteran"	NULL	3	1	"While Deadeye is performing an [Action], he gains <strong><u><a href=""../rulesreference#KW_Armor_Penetration"">Armor Piercing 1</a></u></strong> and any <strong><u><a href=""../rulesreference#KW_Concealed"">Concealed</a></u></strong> on the target is ignored. \n <strong> ACTION PHASE</strong> \n [Action] - [Exert], [1]: Inflict 1 [Wound] on target [Crew]."	NULL	Burak Haliloglu
Joanna Musacchia	exprogue	10008.png	Crew	"Imperial, Mercantile"	NULL	3	1	"[Limited][Reaction] - [2]: After you resolve a <strong><em>Mercantile</em></strong> [Contract] or [Complication], gain 1 [VictoryPoint]. \n <strong>ACTION PHASE</strong> \n [Use] costs Joanna an additional [1]."	"""Don't be the problem. It won't be as fun as you hope."""	Angelica Donarini
"Stuart Smith, Ph.D."	exprogue	10009.png	Crew	"Imperial, Amiable, Professional"	NULL	3	1	"When Stuart performs a [Heroic], he may generate the expert effect even if he only has the trained level of the Skill. \n <strong>ACTION PHASE</strong> \n [Action] - [2]: Gain [Trained:StarshipOps] until end of round."	NULL	Tan Ho Sim
Lt. Col. Herbert B. Kraulnik	exprogue	10010.png	Crew	"Imperial, Solomani, Veteran"	NULL	4	1	"[Limited][Reaction] - [0]: After expending a [Heroic] from your deck, if that [Heroic] requires a Skill Herbert possesses, move that card to your hand. \n [Reaction] - [Exert]: Cancel a [Heroic] requiring a Skill Herbert possesses."	NULL	Burak Haliloglu
"Captain ""Redjack"" Ryan"	exprogue	10011.png	Crew	"Imperial, Altruistic, Unsavory"	NULL	3	1	"While Ready, Redjack has [Trained:Jack]. \n [Exert]: Search your deck for an <strong><em>Amiable</em></strong> or <strong><em>Altruistic</em></strong> card and move it to your hand."	The friendliest rogue in the sector.	Ylva Ljungqvist
Wellington Co. InfoTron	exprogue	10012.png	Crew	"Corporate, Government, Professional"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a></u></strong>,<strong><u><a href=""../rulesreference#KW_Mechanical"">Mechanical</a></u></strong> \n <strong>ACTION PHASE</strong> \n [Action] - [Exert], [1]: Target [Connection] gains a Mayhem counter. If it has Mayhem counters equal to or greater than its cost, jettison it."	NULL	Nick Egberts
Burning Bridges	exprogue	10013.png	Event	Unsavory	NULL	2	1	"Jettison target [Connection]. Then, disperse this card."	"""The relationship had outlived its utility."""	Alex Pushkarev
Subcontracted Consultant	exprogue	10014.png	Event	"Extravagant, Resourceful"	NULL	3	1	"<strong><u><a href=""../rulesreference#KW_Cash"">Cash</a></u></strong> \n Add any one Advanced Capability token to your Resource Pool."	"Subcontracting is expensive, but it can alleviate the strain on an overburdened crew."	Tan Ho Sim
Tranqed	exprogue	10015.png	Heroic Action	"Chemical, Unsavory"	NULL	0	2	"<strong>ACTION PHASE</strong> \n [Trained:Medical] [Action] - [Exert]: Target a [Crew]. [Exert] the target, and suppress its Skills and text box until end of round. \n [Expert:Medical] [Action] - [Exert]: Attach as a <strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> to target [Crew]. The cost for attached [Crew] to perform [Action] is increased by [1]."	NULL	Tan Ho Sim
Precognition	exprogue	10016.png	Heroic Action	"Exotic, Veteran"	NULL	0	2	"<strong>ACTION PHASE</strong> \n [Trained:Psionic] [Action] - [Exert]: Look at the top three cards of any Captain's or Adventure deck, then return those cards in any order. \n [Expert:Psionics] [Action] - [Exert]: Look at up to two [Complications]."	NULL	Burak Haliloglu
Skulduggery	exprogue	10017.png	Heroic Action	Gearhead	NULL	0	2	"<strong>ACTION PHASE</strong> \n [Trained:Underworld] [Action] - [Exert]: Discard two cards from target Captain's deck. If the discarded cards share a type, discard an additional card. \n [Expert:Underworld] [Action] - [Exert]: As above, and if any of the cards is a [Gear], you may choose one [Gear] and attach it to this acting crew at no cost."	NULL	Radoslav Todorov
Soup Up	exprogue	10018.png	Heroic Action	"Extravagant, Gearhead, Professional"	NULL	0	2	"<strong>ACTION PHASE</strong> \n [Trained:Tech] [Action] - [Exert]: Attach this card to an [Upgrade]. While attached, the [Upgrade] has <strong><u><a href=""../rulesreference#KW_Hardened"">Hardened 1</a></u></strong> \n [Expert:Tech] [Action] - [Exert]: As above, and the cost to generate its abilities is reduced by [1]."	"""everything after market."""	Ylva Ljungqvist
Adastra Inno Frewfrux	exprogue	10019.png	Ship Upgrade	Exotic	NULL	3	1	"[Exert], [1]: Target [Crew] you control increases a Trained Skill to Expert until end of round. Then, add one A.I. counter to this card. \n [Exert], A.I. counter: [Attack] +1, or [Defense] +1, or [Initiative] +2 until end of round."	NULL	Paolo Puggioni
Technum LIC Radiation Guard	exprogue	10020.png	Ship Upgrade	Exploration	NULL	0	1	"[Exert], Pay X: X is a credits cost equal to your [Ship] tons divided by 100. Add a Basic Capability token to your Resource Pool. Only usable if you have a [Survey] token in your Resource Pool."	Radiation shielding can give vessels access to shortcuts too dangerous for unprotected rivals.	Nicholas Lim
Safari Ship	expsafari	09001.png	Ship Type	"Imperial, Mercantile"	NULL	NULL	NULL	"After you resolve a [Complication], add a Safari counter to this card. \n For every 3 Safari counters, Hand Size +1. \n For every 7 Safari counters, reduce the number of [VictoryPoint] you require for victory by 3."	NULL	Emrys Ryan
The Resonance Caves	expsafari	09002.png	Adventure Card	"Exotic, Mercantile"	3	NULL	NULL	NULL	Touring a cavern filled with psionically reactive crystals.	Leonardo Calamati
Star Tours	expsafari	09003.png	Adventure Card	"Space, Transport"	3	NULL	NULL	NULL	A galactic wonder best appreciated from space.	Leonardo Calamati
Precedence Highport	expsafari	09004.png	Connection	"Corporate, Government"	NULL	3	1	"[Exert], Basic Capability token: Add an Advanced Capability token to your Resource Pool. This token must share a resource with the Basic Capability spent to generate this ability."	NULL	Ian Stead
Rufus Bartle	expsafari	09005.png	Crew	"Solomani, Amiable, Mercenary"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> \n While you control more than four [Crew], Hand Size -1."	You look sadder than a dog on a diet.	Vincent Van Hoof
Imperial Aquila	promo	99001.png	Gear	"Imperial, Noble"	NULL	2	1	"<strong><em>Imperial</em></strong> [Crew] only. \n Attached [Crew] gains <strong><em>Noble</em></strong> and <strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to crew abilities</u></strong> of [Crew] without <strong><em>Noble</em></strong>."	In memoriam: Loren Wiseman	Nicholas Lim
Broadsword Mercenary Cruiser	promo	99002.png	Ship Type	"Imperial, Mercenary"	NULL	NULL	NULL	You require an additonal 5 [VictoryPoint] to win.	NULL	Dave Jones
BuffBot-3000	promo	99003.png	Crew	"Amiable, Salvage"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a>, <a href=""../rulesreference#KW_Mechanical"">Mechanical</a>, <a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong>. \n After Buffbot-3000 [Exert]: add a Haywire counter to it. If it has 3 or more Haywire counters, jettison it and inflict 1 [Wound] on each of your [Crew]. \n [Exert]: Add a [Trained:Admin], [Trained:Social], or [Trained:StarshipOperation] token to your Resource Pool."	NULL	Robert Pearce
Euphrasie Fleta	promo	99004.png	Crew	"Resourceful, Veteran"	NULL	3	1	"After another [Crew] you control performs a [Heroic], attach that [Heroic] to Euphrasie instead of discarding it, replacing any [Heroic] already attached. She may play an attached [Heroic] at Trained level. Then disperse that [Heroic]."	We'll make it work.	Vadim Marchenkov
Grav Assisted Cargoboat	promo	99005.png	Gear	"Extravagant, Freight"	NULL	0	1	"<strong>Action Phase</strong> \n [Use], [1]: Look at a [Complication] attached to a [LinkOpen] [Contract][Cargo] [LinkClosed]."	For when you can't be bothered to do it yourself.	Robert Pearce
Grav-Hauler	promo	99006.png	Gear	"Grav, Freight, Space"	NULL	2	1	"<strong>Action Phase</strong> \n [Use],[1]: Add a [Cargo] token to your Resource Pool."	NULL	Robert Pearce
Gateway to Destiny	promo	99007.png	Event	Exploration	NULL	0	1	You may look at a [Complication]. Then any other Captain may pay [2] to look at a [Complication].	In memoriam: Hunter Gordon	Bryan Gibson
Ranke's Razor	promo	99008.png	Event	Resourceful	NULL	3	1	<strong>Ready Phase</strong>  \n  Choose a card type. Each Captain jettisons a card of the chosen type the Captain controls.	"""It has to make sense."" In memoriam: Hans Ranke"	Tan Ho Sim
Redlining	promo	99009.png	Event	Maintenance	NULL	0	1	"Until the end of the phase, when a Captain expends a card, if the expended card shares a <strong><em>trait</em></strong> with a card controlled by that Captain, it is worth [Expense]+1."	In memoriam: Don Mckinney	Tan Ho Sim
The Pretty Penny	promo	99010.png	Event	Resourceful	NULL	0	1	Add any one Basic Capability token to your Resource Pool that is not printed on your Ship Card. Then any other Captain may pay [2] to gain a token of the same Capability.	In memoriam: Andrew Boulton	Tan Ho Sim
First Empire Star Jumper	promo	99011.png	Event	"Exploration, Salvage"	NULL	0	1	<strong>Adventure Phase</strong> \n Attach this card to target [Contract]. Attached's [VictoryPoint] is set to 4.	A long lost experimental ship of the Ziru Sirka	Shawn Driscoll
Recruitment!	promo	99012.png	Event	Resourceful	NULL	0	0	"<strong>Procurement Phase</strong> \n You may procure a [Crew] for [0]. Then, any other Captain may procure a [Crew] for [0] by giving you 1 [VictoryPoint]."	"""I want you for the Merchant Marine!"""	Roger Bonet Martinez
Shipping & Handling	promo	99013.png	Event	"Freight, Transport"	NULL	1	1	Add a [Cargo/Passenger] token to your Resource Pool. Any other Captain may pay [3] to add a [Cargo/Passenger] token to their Resource Pools.	NULL	Sebastian Kaziner
Shipping	promo	99014.png	Event	Freight	NULL	0	1	Add a [Cargo] token to your Resource Pool. Any other Captain may pay [2] to add a [Cargo] token to their Resource Pools.	NULL	Sebastian Kaziner
The Tigress's Wake	promo	99015.png	Event	"Imperial, Government, Warfare"	NULL	4	2	"<strong>Adventure Phase</strong> \n Remove from play all [Contract], then replace as normal. Until the end of the round, any Captain of an <strong><em>Imperial</em></strong> [Ship] gains 1 [VictoryPoint] for completing a [Contract]."	"""Apres Tigress, le neant."""	Shawn Driscoll
Subsidized Merchant	submerchant	04001.png	Ship Type	"Imperial, Mercantile"	NULL	NULL	NULL	"Any round in which you take damage during Piracy, lose 1 [VictoryPoint]. At the end of any round in which you gain 5 or more [VictoryPoint], <strong><u></a href=""../rulesreference#KW_Replenish"">Replenish 2</a></u></strong>."	NULL	Dave Jones
The Asylum Seeker	submerchant	04002.png	Adventure Card	Legal	2	NULL	NULL	NULL	Setting a persecuted whistleblower onto a new world.	Leonardo Calamati
The Baron's Tour	submerchant	04003.png	Adventure Card	"Noble, Extravagant, Priority"	4	NULL	NULL	NULL	A wealthy noble charters a tour of local systems.	Leonardo Calamati
Belter Supply Run	submerchant	04004.png	Adventure Card	"Mercantile, Space"	4	NULL	NULL	NULL	Hazardous asteroids complicate mining logistics.	Leonardo Calamati
Flex Ticket	submerchant	04005.png	Adventure Card	"Freight, Resourceful, Transport"	2	NULL	NULL	NULL	A ticket offering either Mid or Low passage based on availability.	Leonardo Calamati
Rhal'Kais Commission	submerchant	04006.png	Adventure Card	"Mercantile, Rhal'Kais, Unsavory"	3	NULL	NULL	NULL	A shady cartel seeks help moving property or personnel.	Leonardo Calamati
Tag and Bag	submerchant	04007.png	Adventure Card	"Mercantile, Warfare"	3	NULL	NULL	NULL	Trophy seekers contracting for transport and other assistance.	Leonardo Calamati
The Traveling Saleswoman	submerchant	04008.png	Adventure Card	"Amiable, Mercantile"	3	NULL	NULL	NULL	A businesswoman and her wares crossing the stars.	Leonardo Calamati
Tukera Lines Subcontract	submerchant	04009.png	Adventure Card	"Corporate, Formidable, Tukera"	4	NULL	NULL	NULL	Tukera Lines subcontracts smaller routes to freelancers.	Leonardo Calamati
Biddable Official	submerchant	04010.png	Connection	"Government, Mercenary, Unsavory"	NULL	2	1	"Whenever an opponent plays an [Event], add a Corruption counter to this card. \n [1]: Add a Corruption counter to this card. Only usable after you played an [Event]. \n [Reaction]-[Exert], remove 3 Corruption counters: Cancel an [Event]."	NULL	Annika Maar
Drifting Depot	submerchant	04011.png	Connection	"Exploration, Space"	NULL	1	1	Remove 2 Depot counters: Add any Basic Capability token to your Resource Pool. \n <strong>Resource Phase</strong> \n [Cargo] token: Add a Depot counter to this card.	Remote freelance ports can be invaluable to smugglers.	Nicholas Lim
Hortalez et Cie Bonding Office	submerchant	04012.png	Connection	"Corporate, Hortalez et Cie"	NULL	1	1	"After you resolve a [Contract], add a Leverage counter to this card. \n For each Leverage counter, other Captains must pay [1] during the <strong>Ready Phase</strong>. Any Captain may pay [4] to jettison this card. \n [2]: After an opposing Captain completes a [Contract], add a Leverage Counter to this card."	NULL	Nick Egberts
The Lucky Star	submerchant	04013.png	Connection	"Corporate, Extravagant"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> \n [Reaction]-[Exert]: Before expending a card from the top of your Captain's Deck, declare an [Expense]. If the card shares that [Expense], apply the card's [Expense] and move it to your hand. Otherwise, reduce the card's [Expense] to 0."	NULL	Nikita Nanako
Restricted Tech Vendor	submerchant	04014.png	Connection	"Mercantile, Primitive, Unsavory"	NULL	2	1	"After you gain [VictoryPoint] for completing a [Subplot], <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish 1</a></u></strong>."	NULL	Julijana Mijallovic
Bhavana Patil	submerchant	04015.png	Crew	"Imperial, Government"	NULL	2	1	Gain 1 [VictoryPoint] after resolving [LinkOpen] [Subplot][Admin] [LinkClosed].	Why fight the system when you can use it?	Paolo Puggioni
"Dr. Peter L.S. Trevor, Xenobiologist"	submerchant	04016.png	Crew	"Imperial, Professional"	NULL	3	1	[Limited] - [1]: Copy the crew abilities of a target non-human [Crew] until end of round.	NULL	Julijana Mijallovic
Fatimah Noori	submerchant	04017.png	Crew	"Solomani, Unsavory"	NULL	2	2	"While Fatimah is exerted, your other [Crew] gain <strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to opponents' crew abilities and Heroic Actions</u></strong> unless the opposing [Crew] has [Admin] or [Underworld] \n <strong>Action Phase</strong> \n [Action]-[Exert]: Gain [Expert:Underworld] until end of round."	NULL	Mandy J???Üorgens
